trip_uuid,source_center,destination_center,route_type,trip_creation_time,od_start_time,od_end_time,actual_time,osrm_time,osrm_distance,actual_distance_to_destination,data
trip-153671398107484965,IND140118AAA,IND160002AAC,FTL,2018-09-12 00:59:41.075273,2018-09-12 05:44:19.105625,2018-09-12 08:54:15.446928,149.0,102.0,124.2799,91.33234417277812,training
trip-153671398107484965,IND140301AAA,IND140001AAA,FTL,2018-09-12 00:59:41.075273,2018-09-12 03:10:32.784624,2018-09-12 04:15:02.191944,39.0,24.0,26.4272,24.86152280611432,training
trip-153671398107484965,IND160002AAC,IND140301AAA,FTL,2018-09-12 00:59:41.075273,2018-09-12 00:59:41.075273,2018-09-12 03:10:32.784624,77.0,47.0,63.6967,38.06310394338883,training
trip-153671402673350359,IND574211AAA,IND574202AAA,FTL,2018-09-12 01:00:26.733769,2018-09-12 02:03:04.041511,2018-09-12 03:03:05.309421,55.0,18.0,25.2975,21.8668003774833,training
trip-153671402673350359,IND574221AAA,IND562132AAA,FTL,2018-09-12 01:00:26.733769,2018-09-12 05:09:37.172718,2018-09-12 14:28:00.360402,535.0,215.0,280.0858,220.35794361668792,training
trip-153671402673350359,IND574239AAA,IND574221AAA,FTL,2018-09-12 01:00:26.733769,2018-09-12 04:13:32.102795,2018-09-12 05:09:37.172718,53.0,35.0,33.2592,19.610509185212408,training
trip-153671437849482795,IND585104AAA,IND585211AAA,Carting,2018-09-12 01:06:18.495090,2018-09-12 01:06:18.495090,2018-09-12 03:05:12.790458,85.0,38.0,47.6795,36.37917361746719,training
trip-153671437849482795,IND585211AAA,IND585222AAA,Carting,2018-09-12 01:06:18.495090,2018-09-12 03:05:12.790458,2018-09-12 04:08:34.378748,39.0,24.0,25.332,20.785054045410856,training
trip-153671437849482795,IND585222AAA,IND585307AAB,Carting,2018-09-12 01:06:18.495090,2018-09-12 04:08:34.378748,2018-09-12 05:54:38.037912,58.0,36.0,39.2918,32.501768460198775,training
trip-153671437849482795,IND585307AAB,IND585104AAA,Carting,2018-09-12 01:06:18.495090,2018-09-12 05:54:38.037912,2018-09-12 15:43:20.340411,151.0,66.0,71.71239999999999,62.08044376002299,training
