trip_uuid,source_center,destination_center,route_type,trip_creation_time,od_start_time,od_end_time,actual_time,osrm_time,osrm_distance,actual_distance_to_destination,data,source_hub,source_degree_centrality,source_betweenness_centrality,source_in_degree,source_out_degree,destination_hub,destination_degree_centrality,destination_betweenness_centrality,destination_in_degree,destination_out_degree,corridor_trip_count,corridor_delay_ratio,trip_hour,trip_dayofweek,trip_month,distance_per_hour,network_risk_score
trip-153671174968648046,IND781005AAA,IND781018AAB,0,2018-09-12 00:22:29.686740,2018-09-12 03:53:13.532367,2018-09-12 06:11:57.563883,110.0,18.0,19.4925,9.94152474747652,training,IND781005AAA,0.001258653241032,0.0,1.0,1.0,IND781018AAB,0.0182504719949653,0.0504921812343745,15.0,14.0,6.0,1.4027777777777777,0,2,9,1.0829166666666667,0.07082930978710868
trip-153671186247781647,IND209304AAA,IND209801AAA,0,2018-09-12 00:24:22.478232,2018-09-12 00:24:22.478232,2018-09-12 03:37:31.889013,160.0,35.0,46.6075,37.07151283345673,training,IND209304AAA,0.0176211453744493,0.0245306321101068,15.0,13.0,IND209801AAA,0.001258653241032,0.0,1.0,1.0,13.0,3.5,0,2,9,1.3316428571428571,0.08585721238537379
trip-153671186247781647,IND209801AAA,IND209304AAA,0,2018-09-12 00:24:22.478232,2018-09-12 03:37:31.889013,2018-09-12 18:10:51.317766,685.0,33.0,47.0734,37.49167354389872,training,IND209801AAA,0.001258653241032,0.0,1.0,1.0,IND209304AAA,0.0176211453744493,0.0245306321101068,15.0,13.0,4.0,22.646153846153847,0,2,9,1.4264666666666665,0.5555244687088802
trip-153671191949943656,IND487001AAB,IND487551AAA,1,2018-09-12 00:25:19.499696,2018-09-12 04:33:09.726898,2018-09-12 05:59:13.062416,78.0,42.0,48.4129,42.63033296031683,training,IND487001AAB,0.001258653241032,0.0019726070528967,1.0,1.0,IND487551AAA,0.0018879798615481,0.0035516372795969,2.0,1.0,2.0,1.696629213483146,0,2,9,1.1526880952380953,0.009372594316927343
trip-153671191949943656,IND487551AAA,IND464668AAA,1,2018-09-12 00:25:19.499696,2018-09-12 05:59:13.062416,2018-09-12 09:23:49.463096,175.0,67.0,81.9341,57.34526176515766,training,IND487551AAA,0.0018879798615481,0.0035516372795969,2.0,1.0,IND464668AAA,0.001258653241032,0.0031770945407136,1.0,1.0,4.0,2.4444444444444446,0,2,9,1.222897014925373,0.016448011116314557
trip-153671202698783427,IND395001AAA,IND395023AAD,0,2018-09-12 00:27:06.988059,2018-09-12 02:37:19.832796,2018-09-12 05:37:46.359107,146.0,14.0,14.7138,9.6127552094318,training,IND395001AAA,0.001258653241032,0.0,1.0,1.0,IND395023AAD,0.0062932662051604,1.574307304785894e-05,5.0,5.0,9.0,10.428571428571429,0,2,9,1.0509857142857144,0.00016417776178481467
trip-153671202698783427,IND395023AAD,IND395006AAA,0,2018-09-12 00:27:06.988059,2018-09-12 00:27:06.988059,2018-09-12 02:04:22.360575,24.0,15.0,15.8319,10.604863275729944,training,IND395023AAD,0.0062932662051604,1.574307304785894e-05,5.0,5.0,IND395006AAA,0.001258653241032,0.0,1.0,1.0,14.0,1.7857142857142858,0,2,9,1.0554599999999998,2.8112630442605253e-05
trip-153671224643574839,IND413709AAA,IND423109AAA,0,2018-09-12 00:30:46.435980,2018-09-12 04:54:11.610414,2018-09-12 06:15:00.019695,56.0,27.0,29.4937,24.05326992867573,training,IND413709AAA,0.0025173064820641,0.0,2.0,2.0,IND423109AAA,0.0018879798615481,0.0009839420654911,2.0,1.0,10.0,2.0185185185185186,0,2,9,1.0923592592592593,0.0019861052803431464
trip-153671224643574839,IND422011AAD,IND422103AAC,0,2018-09-12 00:30:46.435980,2018-09-12 00:30:46.435980,2018-09-12 02:03:45.814605,87.0,34.0,37.4057,21.27895940746373,training,IND422011AAD,0.0031466331025802,0.0023614609571788,2.0,3.0,IND422103AAC,0.001258653241032,0.0005903652392947,1.0,1.0,8.0,1.3972602739726028,0,2,9,1.1001676470588235,0.004124469480004069
trip-153671224643574839,IND422103AAC,IND422605AAA,0,2018-09-12 00:30:46.435980,2018-09-12 02:03:45.814605,2018-09-12 03:13:38.555321,54.0,30.0,38.7871,36.54135841014276,training,IND422103AAC,0.001258653241032,0.0005903652392947,1.0,1.0,IND422605AAA,0.001258653241032,0.0001967884130982,1.0,1.0,7.0,1.8,0,2,9,1.2929033333333335,0.00141687657430722
