source_center,destination_center,trip_count,actual_time,osrm_time,delay_ratio
IND577116AAA,IND577101AAA,3,42.0,40.0,1.05
IND577126AAA,IND577201AAA,1,176.0,65.0,2.707692307692308
IND577132AAD,IND573134AAB,7,63.0,32.0,1.96875
IND577201AAA,IND562132AAA,10,384.0,214.5,1.7902097902097902
IND577201AAA,IND577432AAA,1,106.0,45.0,2.3555555555555556
IND577401AAA,IND562132AAA,1,674.0,298.0,2.261744966442953
IND577401AAA,IND577201AAA,7,99.0,88.0,1.125
IND577432AAA,IND577126AAA,1,42.0,20.0,2.1
IND577501AAA,IND577002AAA,10,74.0,44.0,1.6818181818181819
IND577522AAA,IND562132AAA,10,209.0,140.0,1.4928571428571429
IND577535AAC,IND577522AAA,10,62.0,39.0,1.5897435897435896
IND577598AAB,IND573142AAA,11,106.0,57.0,1.8596491228070176
IND577598AAC,IND577501AAA,11,59.0,32.0,1.84375
IND580002AAA,IND580028AAA,2,112.5,20.5,5.487804878048781
IND580028AAA,IND403726AAA,13,341.0,141.0,2.4184397163120566
IND580028AAA,IND562132AAA,1,513.0,285.0,1.8
IND580028AAA,IND580002AAA,5,72.0,21.0,3.4285714285714284
IND580028AAA,IND581402AAA,15,120.0,83.0,1.4457831325301205
IND580028AAA,IND590016AAA,7,161.0,74.0,2.175675675675676
IND580028AAA,IND591115AAB,4,77.0,43.5,1.7701149425287357
IND580028AAA,IND591123AAC,13,171.0,87.0,1.9655172413793103
IND581110AAE,IND577002AAA,2,124.0,58.0,2.1379310344827585
IND581110AAE,IND581119AAB,11,82.0,43.0,1.9069767441860466
IND581115AAC,IND581110AAE,13,45.0,26.0,1.7307692307692308
IND581119AAB,IND577002AAA,10,80.5,45.0,1.788888888888889
IND581303AAA,IND581325AAA,2,140.0,94.0,1.4893617021276595
IND581303AAA,IND581400AAB,12,52.5,44.5,1.1797752808988764
IND581314AAA,IND403726AAA,9,202.0,113.0,1.7876106194690264
IND581314AAA,IND581334AAA,1,85.0,56.0,1.5178571428571428
IND581320AAA,IND575004AAB,1,259.0,111.0,2.3333333333333335
IND581320AAA,IND581334AAA,4,57.5,38.0,1.513157894736842
IND581325AAA,IND580028AAA,14,132.5,68.0,1.9485294117647058
IND581334AAA,IND581314AAA,3,96.0,51.0,1.8823529411764706
IND581334AAA,IND581320AAA,1,47.0,31.0,1.5161290322580645
IND581334AAA,IND581343AAC,2,45.0,20.0,2.25
IND581343AAC,IND581314AAA,6,54.5,32.5,1.676923076923077
IND581400AAB,IND581325AAA,12,114.0,108.0,1.0555555555555556
IND581402AAA,IND577201AAA,1,224.0,128.0,1.75
IND581402AAA,IND577401AAA,9,114.0,72.0,1.5833333333333333
IND582101AAB,IND580028AAA,12,136.5,46.0,2.967391304347826
IND582209AAA,IND582101AAB,11,78.0,37.0,2.108108108108108
IND583101AAA,IND577535AAC,10,79.0,43.0,1.8372093023255813
IND583101AAA,IND583201AAA,11,120.0,46.0,2.608695652173913
IND583119AAA,IND583101AAA,7,182.0,44.0,4.136363636363637
IND583201AAA,IND583101AAA,1,127.0,45.0,2.8222222222222224
IND583201AAA,IND583119AAA,7,63.0,27.0,2.3333333333333335
IND583201AAA,IND583227AAA,11,60.0,30.0,2.0
IND583227AAA,IND583231AAA,10,67.0,39.0,1.7179487179487178
IND583231AAA,IND583201AAA,10,53.0,22.0,2.409090909090909
IND584101AAA,IND509124AAA,9,82.0,56.0,1.4642857142857142
IND584101AAA,IND518002AAA,1,346.0,91.0,3.802197802197802
IND584101AAA,IND584123AAA,2,66.5,43.0,1.5465116279069768
IND584123AAA,IND584128AAA,1,52.0,36.0,1.4444444444444444
IND584128AAA,IND583121AAA,2,50.0,22.5,2.2222222222222223
IND585104AAA,IND585211AAA,11,73.0,38.0,1.9210526315789473
IND585104AAA,IND585307AAB,4,100.0,66.0,1.5151515151515151
IND585104AAA,IND585314AAA,4,70.0,38.5,1.8181818181818181
IND585104AAA,IND585330AAE,14,79.0,43.0,1.8372093023255813
IND585104AAA,IND586128AAA,9,142.0,73.0,1.9452054794520548
IND585211AAA,IND585104AAA,3,84.0,38.0,2.210526315789474
IND585211AAA,IND585222AAA,11,36.0,24.0,1.5
IND585222AAA,IND585211AAA,4,36.0,26.0,1.3846153846153846
IND585222AAA,IND585307AAB,11,57.0,36.0,1.5833333333333333
IND585307AAB,IND585104AAA,11,285.0,67.0,4.253731343283582
IND585307AAB,IND585222AAA,4,51.5,37.0,1.3918918918918919
IND585314AAA,IND585104AAA,9,193.0,37.0,5.216216216216216
IND585314AAA,IND586211AAA,3,188.0,97.0,1.9381443298969072
IND585330AAE,IND585401AAA,15,64.0,34.0,1.8823529411764706
IND585401AAA,IND502286AAB,15,105.0,42.0,2.5
IND586101AAA,IND416404AAA,4,102.0,44.5,2.292134831460674
IND586101AAB,IND416404AAA,2,88.5,44.0,2.0113636363636362
IND586128AAA,IND585104AAA,4,222.0,73.0,3.041095890410959
IND586128AAA,IND586211AAA,9,76.0,47.0,1.6170212765957446
IND586211AAA,IND585314AAA,9,178.0,97.0,1.8350515463917525
IND586211AAA,IND586128AAA,3,86.0,47.0,1.8297872340425532
IND587103AAB,IND582101AAB,2,199.0,92.0,2.1630434782608696
IND587103AAB,IND582209AAA,12,116.0,61.0,1.901639344262295
IND590016AAA,IND591302AAB,3,45.0,32.0,1.40625
IND591102AAA,IND591307AAC,12,84.5,42.0,2.011904761904762
IND591115AAB,IND590016AAA,4,55.5,30.5,1.819672131147541
IND591123AAC,IND587103AAB,13,87.0,52.0,1.6730769230769231
IND591126AAA,IND591102AAA,1,49.0,30.0,1.6333333333333333
IND591201AAA,IND591304AAA,8,87.5,60.0,1.4583333333333333
IND591237AAB,IND591201AAA,1,25.0,21.0,1.1904761904761905
